city,region,storage_time,time_since_cooking,storage_condition,container_type,food_type,moisture_type,cooking_method,texture,smell,freshness_level
Bengaluru,South,9.4,3.99,refrigerated,plastic,Seafood,semi-wet,baked,dry,neutral,Medium
Bhopal,Central,12.9,4.0,outside,metal,Vegetarian,wet,fried,soggy,neutral,Spoiled
Bhopal,Central,11.4,6.92,refrigerated,metal,Non-Vegetarian,dry,steamed,firm,sour,Spoiled
Chandigarh,North,9.8,3.94,outside,open,Non-Vegetarian,semi-wet,fried,dry,fermented,Spoiled
Mumbai,West,5.3,1.45,refrigerated,open,Dairy,wet,baked,crispy,fermented,Medium
Imphal,NorthEast,11.7,2.03,outside,metal,Dairy,wet,boiled,dry,strong,Spoiled
Raipur,Central,12.0,4.41,outside,plastic,Bakery,dry,boiled,dry,strong,Spoiled
Lucknow,North,13.0,2.48,refrigerated,closed,Vegetarian,dry,fried,soggy,strong,Fresh
Hyderabad,South,7.8,5.91,outside,plastic,Bakery,dry,boiled,moist,slight,Spoiled
Kochi,South,2.0,2.35,outside,closed,Seafood,semi-wet,steamed,firm,strong,Spoiled
Ahmedabad,West,0.0,0.03,outside,plastic,Vegetarian,semi-wet,boiled,soggy,neutral,Medium
Mumbai,West,13.1,1.43,refrigerated,metal,Dairy,dry,baked,soggy,strong,Fresh
Delhi,North,0.0,3.5,outside,plastic,Vegetarian,dry,steamed,moist,sour,Spoiled
Delhi,North,9.6,5.31,refrigerated,closed,Vegetarian,dry,steamed,crispy,sour,Medium
Bhopal,Central,0.0,0.07,outside,closed,Vegetarian,semi-wet,baked,firm,neutral,Fresh
Hyderabad,South,9.8,0.21,outside,plastic,Vegetarian,semi-wet,baked,firm,neutral,Medium
Srinagar,North,37.3,1.79,outside,open,Seafood,wet,steamed,dry,sour,Spoiled
Guwahati,NorthEast,17.8,3.54,refrigerated,metal,Vegetarian,dry,baked,dry,sour,Medium
Patna,East,17.4,5.57,refrigerated,open,Dairy,semi-wet,steamed,dry,sour,Spoiled
Raipur,Central,14.5,6.43,refrigerated,closed,Seafood,wet,steamed,dry,sour,Spoiled
Kochi,South,21.7,2.32,outside,closed,Bakery,semi-wet,boiled,crispy,neutral,Spoiled
Hyderabad,South,12.3,1.3,refrigerated,plastic,Dairy,semi-wet,boiled,soft,sour,Spoiled
Jaipur,North,30.7,7.59,refrigerated,open,Bakery,dry,boiled,dry,fermented,Spoiled
Guwahati,East,14.9,0.7,outside,plastic,Seafood,dry,fried,dry,neutral,Medium
Patna,East,34.2,4.89,outside,metal,Seafood,semi-wet,fried,firm,neutral,Spoiled
Shillong,NorthEast,24.1,2.21,refrigerated,metal,Non-Vegetarian,dry,boiled,moist,sour,Spoiled
Surat,West,22.6,6.45,refrigerated,closed,Non-Vegetarian,dry,baked,crispy,neutral,Fresh
Surat,West,13.9,0.63,outside,closed,Dairy,dry,baked,soft,slight,Medium
Chennai,South,20.6,4.21,refrigerated,metal,Dairy,wet,fried,dry,sour,Medium
Patna,East,26.3,0.81,refrigerated,closed,Vegetarian,dry,boiled,soggy,sour,Medium
Kochi,South,6.3,0.5,outside,metal,Seafood,wet,baked,firm,strong,Medium
Hyderabad,South,33.2,3.39,refrigerated,closed,Dairy,dry,fried,moist,neutral,Fresh
Guwahati,NorthEast,0.0,2.71,outside,plastic,Non-Vegetarian,semi-wet,boiled,moist,fermented,Spoiled
Indore,Central,20.1,0.75,outside,open,Non-Vegetarian,wet,baked,crispy,strong,Spoiled
Imphal,NorthEast,24.4,2.6,refrigerated,closed,Vegetarian,dry,steamed,firm,sour,Spoiled
Ahmedabad,West,18.3,1.66,refrigerated,metal,Bakery,dry,boiled,firm,slight,Fresh
Nagpur,Central,0.0,0.87,refrigerated,closed,Bakery,dry,boiled,firm,strong,Fresh
Guwahati,NorthEast,37.1,4.39,outside,metal,Dairy,semi-wet,baked,crispy,sour,Spoiled
Madurai,South,3.5,8.29,refrigerated,closed,Bakery,semi-wet,boiled,dry,neutral,Fresh
Bhubaneswar,East,15.3,2.21,refrigerated,closed,Dairy,semi-wet,fried,dry,slight,Fresh
Goa,West,18.3,4.65,refrigerated,open,Seafood,wet,steamed,crispy,neutral,Medium
Shillong,NorthEast,11.5,1.3,outside,metal,Vegetarian,dry,baked,moist,strong,Spoiled
Jaipur,North,3.7,2.2,outside,plastic,Bakery,dry,baked,soft,neutral,Medium
Kolkata,East,10.8,4.25,outside,open,Bakery,semi-wet,fried,crispy,sour,Spoiled
Jaipur,North,25.8,5.18,outside,open,Dairy,wet,baked,dry,fermented,Spoiled
Bhopal,Central,24.6,5.43,outside,metal,Seafood,semi-wet,fried,dry,fermented,Spoiled
Imphal,NorthEast,17.4,1.89,refrigerated,open,Dairy,wet,boiled,moist,neutral,Medium
Imphal,NorthEast,16.5,0.14,outside,metal,Seafood,semi-wet,fried,crispy,slight,Medium
Guwahati,East,2.2,1.96,refrigerated,closed,Seafood,semi-wet,steamed,firm,sour,Medium
Ahmedabad,West,5.6,2.03,outside,plastic,Dairy,semi-wet,steamed,firm,strong,Spoiled
Goa,West,25.0,0.52,refrigerated,closed,Bakery,semi-wet,fried,crispy,fermented,Medium
Delhi,North,17.6,4.17,outside,open,Seafood,dry,steamed,soggy,slight,Spoiled
Goa,West,10.3,5.47,outside,closed,Non-Vegetarian,wet,boiled,firm,slight,Spoiled
Lucknow,North,1.1,3.94,refrigerated,plastic,Bakery,wet,baked,firm,sour,Medium
Imphal,NorthEast,0.0,6.69,outside,metal,Non-Vegetarian,dry,boiled,crispy,fermented,Spoiled
Guwahati,NorthEast,27.6,1.57,refrigerated,closed,Bakery,wet,steamed,crispy,neutral,Medium
Guwahati,East,0.0,4.9,outside,metal,Non-Vegetarian,wet,fried,soft,fermented,Spoiled
Bhubaneswar,East,11.7,8.39,outside,plastic,Vegetarian,semi-wet,boiled,moist,fermented,Spoiled
Madurai,South,0.0,0.6,outside,metal,Dairy,dry,fried,firm,fermented,Medium
Bhopal,Central,15.5,3.67,refrigerated,open,Bakery,wet,baked,firm,slight,Medium
Mumbai,West,15.3,0.77,refrigerated,metal,Dairy,dry,steamed,firm,strong,Fresh
Madurai,South,14.8,4.66,refrigerated,open,Vegetarian,wet,steamed,crispy,sour,Spoiled
Bhopal,Central,24.0,1.17,outside,open,Vegetarian,dry,steamed,crispy,sour,Spoiled
Kochi,South,24.4,4.6,refrigerated,closed,Non-Vegetarian,semi-wet,boiled,dry,strong,Medium
Kolkata,East,29.0,6.8,refrigerated,open,Seafood,wet,boiled,soft,strong,Spoiled
Bhubaneswar,East,23.4,0.36,refrigerated,metal,Dairy,semi-wet,boiled,soggy,neutral,Fresh
Kochi,South,38.5,5.07,refrigerated,metal,Dairy,wet,fried,moist,fermented,Spoiled
Raipur,Central,12.7,0.49,outside,open,Dairy,dry,baked,soggy,sour,Spoiled
Kolkata,East,13.9,0.4,refrigerated,closed,Vegetarian,dry,steamed,dry,neutral,Fresh
Imphal,NorthEast,21.8,9.17,refrigerated,open,Vegetarian,wet,steamed,moist,sour,Spoiled
Chennai,South,9.4,1.42,refrigerated,closed,Bakery,dry,baked,moist,fermented,Medium
Guwahati,NorthEast,26.1,5.55,outside,closed,Dairy,dry,boiled,firm,strong,Spoiled
Nagpur,Central,6.7,4.27,outside,plastic,Seafood,wet,fried,firm,strong,Spoiled
Patna,East,0.7,0.48,refrigerated,open,Dairy,wet,boiled,soft,sour,Medium
Guwahati,NorthEast,0.8,8.36,outside,metal,Seafood,wet,steamed,moist,sour,Spoiled
Indore,Central,24.1,0.83,refrigerated,open,Dairy,semi-wet,baked,firm,slight,Medium
Chandigarh,North,21.8,3.32,outside,closed,Seafood,wet,fried,soggy,slight,Spoiled
Madurai,South,33.5,0.08,refrigerated,closed,Seafood,semi-wet,baked,soggy,slight,Fresh
Mumbai,West,22.6,2.51,outside,closed,Non-Vegetarian,wet,boiled,dry,fermented,Spoiled
Indore,Central,7.5,0.76,refrigerated,open,Seafood,dry,boiled,crispy,neutral,Fresh
Kolkata,East,14.2,6.17,refrigerated,plastic,Bakery,wet,baked,dry,neutral,Medium
Surat,West,0.0,9.37,outside,closed,Dairy,wet,steamed,soggy,slight,Spoiled
Hyderabad,South,19.1,0.06,refrigerated,plastic,Vegetarian,dry,baked,soggy,strong,Fresh
Shillong,NorthEast,14.7,4.96,outside,metal,Dairy,semi-wet,baked,soggy,sour,Spoiled
Ahmedabad,West,9.0,1.78,outside,closed,Bakery,semi-wet,steamed,crispy,sour,Spoiled
Bhubaneswar,East,31.4,0.34,refrigerated,plastic,Dairy,semi-wet,boiled,soft,slight,Medium
Raipur,Central,8.0,0.08,refrigerated,metal,Bakery,dry,baked,firm,sour,Fresh
Bhubaneswar,East,24.6,0.31,refrigerated,open,Vegetarian,dry,fried,moist,neutral,Fresh
Lucknow,North,16.0,3.68,outside,plastic,Vegetarian,wet,baked,crispy,fermented,Spoiled
Goa,West,18.0,4.54,refrigerated,metal,Bakery,wet,baked,dry,sour,Spoiled
Guwahati,NorthEast,12.2,0.38,outside,metal,Dairy,dry,fried,soggy,sour,Spoiled
Bhubaneswar,East,6.9,4.27,refrigerated,plastic,Vegetarian,dry,steamed,crispy,neutral,Fresh
Chennai,South,5.2,6.27,outside,closed,Vegetarian,dry,baked,crispy,fermented,Spoiled
Ahmedabad,West,0.0,2.43,outside,plastic,Vegetarian,semi-wet,baked,moist,slight,Medium
Mumbai,West,10.7,2.66,refrigerated,closed,Bakery,semi-wet,baked,soft,fermented,Medium
Patna,East,4.0,4.67,refrigerated,closed,Dairy,semi-wet,steamed,soggy,strong,Medium
Guwahati,East,7.6,0.27,refrigerated,open,Bakery,dry,boiled,soft,neutral,Fresh
Hyderabad,South,26.3,4.19,refrigerated,metal,Seafood,wet,baked,dry,neutral,Medium
Guwahati,NorthEast,17.7,1.14,refrigerated,open,Vegetarian,dry,fried,soft,sour,Medium
Guwahati,East,0.0,2.14,refrigerated,open,Dairy,semi-wet,boiled,crispy,fermented,Medium
Chandigarh,North,13.9,3.43,outside,plastic,Vegetarian,dry,boiled,firm,slight,Spoiled
Shillong,NorthEast,11.9,4.76,outside,open,Non-Vegetarian,semi-wet,boiled,dry,neutral,Spoiled
Delhi,North,0.0,3.91,outside,open,Dairy,wet,steamed,soft,neutral,Spoiled
Indore,Central,6.2,3.84,refrigerated,open,Dairy,dry,boiled,crispy,fermented,Medium
Imphal,NorthEast,21.6,0.97,refrigerated,plastic,Dairy,wet,baked,soggy,slight,Medium
Chandigarh,North,4.9,4.39,refrigerated,open,Non-Vegetarian,dry,fried,firm,fermented,Medium
Patna,East,3.8,9.06,refrigerated,plastic,Bakery,semi-wet,baked,crispy,slight,Medium
Bhubaneswar,East,27.0,0.63,refrigerated,closed,Bakery,wet,baked,crispy,slight,Medium
Patna,East,7.7,0.91,outside,closed,Vegetarian,semi-wet,steamed,dry,slight,Medium
Surat,West,8.6,3.94,outside,metal,Seafood,wet,steamed,moist,sour,Spoiled
Guwahati,NorthEast,25.3,0.49,outside,open,Bakery,wet,baked,firm,slight,Spoiled
Mumbai,West,0.0,3.5,outside,closed,Seafood,dry,steamed,soft,sour,Spoiled
Mumbai,West,2.7,0.65,outside,closed,Seafood,wet,boiled,crispy,sour,Spoiled
Bhopal,Central,4.4,1.94,outside,closed,Dairy,semi-wet,boiled,soggy,neutral,Medium
Mumbai,West,17.1,7.32,refrigerated,metal,Dairy,wet,baked,moist,sour,Spoiled
Lucknow,North,4.4,0.63,outside,metal,Vegetarian,wet,baked,soft,neutral,Medium
Hyderabad,South,9.2,3.68,outside,open,Bakery,wet,fried,soft,strong,Spoiled
Shillong,NorthEast,16.8,3.07,outside,plastic,Non-Vegetarian,semi-wet,fried,soft,strong,Spoiled
Mumbai,West,7.4,3.06,refrigerated,closed,Vegetarian,dry,steamed,firm,sour,Medium
Chennai,South,12.5,2.87,refrigerated,metal,Non-Vegetarian,wet,steamed,firm,slight,Medium
Patna,East,7.9,1.58,refrigerated,plastic,Vegetarian,dry,boiled,firm,fermented,Medium
Lucknow,North,15.6,3.78,outside,plastic,Bakery,semi-wet,steamed,soft,fermented,Spoiled
Kochi,South,0.7,4.72,outside,open,Dairy,dry,boiled,soft,sour,Spoiled
Jaipur,North,0.0,0.12,outside,closed,Non-Vegetarian,semi-wet,fried,dry,strong,Fresh
Indore,Central,16.3,0.43,outside,plastic,Dairy,semi-wet,boiled,moist,strong,Spoiled
Guwahati,East,12.2,2.04,refrigerated,metal,Vegetarian,semi-wet,fried,dry,neutral,Fresh
Patna,East,0.0,4.33,outside,metal,Seafood,wet,fried,soft,strong,Medium
Delhi,North,14.1,0.07,refrigerated,closed,Vegetarian,dry,fried,soggy,slight,Fresh
Guwahati,East,14.1,2.9,outside,plastic,Dairy,semi-wet,baked,soft,neutral,Spoiled
Chennai,South,10.4,4.39,refrigerated,closed,Dairy,wet,steamed,firm,strong,Medium
Madurai,South,17.5,0.76,outside,metal,Dairy,semi-wet,fried,firm,neutral,Medium
Patna,East,3.5,1.33,outside,metal,Seafood,semi-wet,baked,soggy,slight,Medium
Goa,West,5.2,4.45,outside,plastic,Bakery,semi-wet,baked,crispy,slight,Spoiled
Nagpur,Central,17.6,4.17,refrigerated,open,Non-Vegetarian,wet,baked,dry,slight,Medium
Kolkata,East,11.6,5.79,outside,metal,Non-Vegetarian,semi-wet,fried,moist,slight,Spoiled
Imphal,NorthEast,0.0,0.32,refrigerated,open,Vegetarian,wet,boiled,firm,sour,Medium
Bhopal,Central,12.3,0.55,refrigerated,open,Non-Vegetarian,dry,fried,dry,neutral,Fresh
Mumbai,West,7.2,2.44,refrigerated,metal,Seafood,wet,steamed,moist,sour,Spoiled
Guwahati,East,9.8,1.42,outside,metal,Dairy,semi-wet,fried,soft,sour,Spoiled
Imphal,NorthEast,6.8,1.87,refrigerated,plastic,Seafood,semi-wet,fried,moist,sour,Medium
Jaipur,North,9.0,1.02,refrigerated,open,Dairy,wet,baked,moist,strong,Medium
Ahmedabad,West,24.6,4.56,outside,plastic,Bakery,dry,boiled,moist,neutral,Spoiled
Surat,West,20.9,4.44,refrigerated,metal,Non-Vegetarian,dry,steamed,soggy,strong,Medium
Kolkata,East,12.1,4.97,outside,metal,Non-Vegetarian,dry,boiled,soggy,neutral,Spoiled
Shillong,NorthEast,15.9,1.27,refrigerated,metal,Non-Vegetarian,semi-wet,baked,firm,fermented,Medium
Imphal,NorthEast,20.9,4.11,outside,open,Seafood,dry,fried,soggy,fermented,Spoiled
Ahmedabad,West,13.4,2.5,refrigerated,metal,Vegetarian,semi-wet,steamed,dry,slight,Fresh
Kolkata,East,18.5,2.5,refrigerated,open,Seafood,semi-wet,fried,firm,sour,Spoiled
Srinagar,North,26.7,7.12,outside,closed,Dairy,semi-wet,baked,firm,slight,Spoiled
Chandigarh,North,15.2,3.24,outside,closed,Bakery,wet,fried,firm,neutral,Spoiled
Madurai,South,11.7,3.05,outside,metal,Dairy,dry,boiled,soft,strong,Spoiled
Patna,East,0.0,1.5,refrigerated,plastic,Dairy,wet,steamed,moist,slight,Medium
Jaipur,North,14.9,3.09,outside,metal,Vegetarian,semi-wet,baked,crispy,strong,Spoiled
Ahmedabad,West,12.9,3.73,refrigerated,open,Bakery,semi-wet,steamed,moist,fermented,Spoiled
Imphal,NorthEast,0.0,3.07,refrigerated,closed,Seafood,semi-wet,steamed,dry,fermented,Medium
Nagpur,Central,5.4,3.24,refrigerated,closed,Dairy,wet,steamed,moist,slight,Medium
Shillong,NorthEast,6.6,1.09,refrigerated,closed,Seafood,wet,steamed,moist,slight,Fresh
Imphal,NorthEast,3.2,2.7,outside,plastic,Seafood,dry,baked,dry,neutral,Spoiled
Delhi,North,25.2,1.77,outside,open,Seafood,dry,steamed,dry,fermented,Spoiled
Patna,East,16.0,4.58,outside,closed,Vegetarian,dry,steamed,soft,neutral,Spoiled
Jaipur,North,4.7,5.58,refrigerated,metal,Seafood,dry,boiled,crispy,sour,Medium
Indore,Central,15.4,7.33,refrigerated,metal,Dairy,dry,fried,firm,fermented,Medium
Kolkata,East,15.1,3.6,refrigerated,plastic,Non-Vegetarian,dry,steamed,crispy,neutral,Medium
Raipur,Central,6.6,2.59,refrigerated,closed,Dairy,wet,steamed,dry,sour,Medium
Imphal,NorthEast,2.1,1.86,outside,plastic,Dairy,dry,fried,dry,slight,Medium
Bengaluru,South,10.2,4.1,refrigerated,plastic,Bakery,wet,fried,soggy,neutral,Medium
Guwahati,NorthEast,8.5,4.48,outside,metal,Vegetarian,dry,steamed,soggy,strong,Spoiled
Surat,West,5.5,1.62,refrigerated,closed,Vegetarian,dry,fried,soggy,strong,Fresh
Srinagar,North,4.0,2.73,refrigerated,closed,Dairy,semi-wet,steamed,crispy,slight,Fresh
Bhopal,Central,17.3,5.27,outside,closed,Non-Vegetarian,semi-wet,boiled,crispy,fermented,Spoiled
Chandigarh,North,14.6,1.63,refrigerated,closed,Dairy,dry,boiled,dry,strong,Fresh
Lucknow,North,8.6,1.97,outside,closed,Non-Vegetarian,dry,boiled,firm,neutral,Medium
Indore,Central,17.8,3.44,outside,metal,Bakery,dry,fried,soft,neutral,Medium
Patna,East,0.0,0.8,outside,closed,Bakery,semi-wet,baked,crispy,fermented,Spoiled
Raipur,Central,14.7,0.75,outside,metal,Dairy,semi-wet,fried,soggy,sour,Spoiled
Bhubaneswar,East,0.0,3.24,outside,open,Non-Vegetarian,dry,boiled,moist,strong,Spoiled
Bengaluru,South,13.5,3.52,refrigerated,open,Vegetarian,semi-wet,steamed,firm,slight,Medium
Surat,West,6.9,7.35,outside,metal,Bakery,dry,steamed,soggy,neutral,Medium
Hyderabad,South,10.1,0.31,outside,plastic,Vegetarian,dry,baked,dry,slight,Medium
Surat,West,0.0,1.19,refrigerated,closed,Dairy,wet,fried,soggy,fermented,Medium
Guwahati,East,25.9,7.19,outside,open,Vegetarian,semi-wet,boiled,dry,sour,Spoiled
Lucknow,North,18.3,3.92,outside,open,Dairy,dry,fried,dry,fermented,Spoiled
Chennai,South,34.6,1.2,outside,plastic,Dairy,semi-wet,steamed,soft,neutral,Spoiled
Ahmedabad,West,9.5,1.56,refrigerated,plastic,Seafood,dry,baked,dry,slight,Fresh
Ahmedabad,West,24.7,3.27,refrigerated,plastic,Seafood,dry,boiled,soft,slight,Medium
Chennai,South,4.3,0.97,outside,metal,Non-Vegetarian,wet,fried,firm,fermented,Spoiled
Jaipur,North,7.2,4.5,outside,plastic,Seafood,semi-wet,boiled,firm,sour,Spoiled
Bhubaneswar,East,7.5,4.58,refrigerated,closed,Vegetarian,wet,fried,soft,neutral,Fresh
Raipur,Central,0.0,5.46,refrigerated,metal,Vegetarian,dry,steamed,soggy,slight,Fresh
Shillong,NorthEast,16.4,4.23,refrigerated,closed,Vegetarian,dry,fried,soft,fermented,Medium
Bengaluru,South,14.0,1.01,refrigerated,closed,Bakery,semi-wet,steamed,crispy,slight,Fresh
Shillong,NorthEast,4.9,3.69,outside,metal,Non-Vegetarian,semi-wet,steamed,moist,sour,Spoiled
Shillong,NorthEast,20.5,1.64,refrigerated,open,Non-Vegetarian,wet,boiled,firm,sour,Spoiled
Delhi,North,14.3,2.95,refrigerated,plastic,Seafood,wet,baked,moist,strong,Spoiled
Kolkata,East,6.9,6.46,outside,closed,Dairy,dry,baked,moist,neutral,Medium
Mumbai,West,16.3,1.09,outside,plastic,Dairy,dry,steamed,moist,strong,Spoiled
Imphal,NorthEast,16.1,0.68,outside,open,Seafood,semi-wet,boiled,soggy,neutral,Spoiled
Kochi,South,13.2,2.76,outside,metal,Vegetarian,wet,steamed,moist,strong,Spoiled
Delhi,North,4.7,5.82,outside,plastic,Bakery,wet,boiled,crispy,fermented,Spoiled
Guwahati,NorthEast,12.1,1.1,refrigerated,plastic,Seafood,semi-wet,baked,soft,sour,Spoiled
Nagpur,Central,27.2,1.7,outside,open,Non-Vegetarian,semi-wet,steamed,moist,fermented,Spoiled
Nagpur,Central,0.0,5.22,outside,open,Seafood,dry,steamed,dry,fermented,Spoiled
Bhubaneswar,East,20.9,0.66,refrigerated,open,Seafood,dry,baked,firm,fermented,Medium
Goa,West,11.2,6.39,outside,metal,Seafood,dry,boiled,soggy,slight,Spoiled
Lucknow,North,32.2,1.34,outside,plastic,Vegetarian,dry,fried,firm,neutral,Spoiled
Mumbai,West,0.0,2.49,outside,closed,Vegetarian,dry,baked,crispy,neutral,Medium
Indore,Central,15.2,7.29,refrigerated,plastic,Non-Vegetarian,wet,boiled,firm,strong,Spoiled
Imphal,NorthEast,18.1,2.86,refrigerated,open,Dairy,wet,baked,firm,slight,Medium
Guwahati,NorthEast,3.5,2.69,refrigerated,open,Seafood,semi-wet,boiled,firm,neutral,Medium
Indore,Central,12.0,1.63,refrigerated,closed,Seafood,dry,fried,soggy,neutral,Fresh
Patna,East,18.6,2.89,outside,open,Seafood,semi-wet,fried,firm,strong,Spoiled
Lucknow,North,20.1,1.99,outside,metal,Dairy,dry,baked,soft,fermented,Spoiled
Imphal,NorthEast,16.5,2.9,refrigerated,open,Bakery,semi-wet,fried,dry,fermented,Spoiled
Ahmedabad,West,14.8,2.45,refrigerated,metal,Seafood,wet,steamed,dry,fermented,Spoiled
Jaipur,North,7.7,0.01,refrigerated,open,Vegetarian,wet,fried,firm,neutral,Fresh
Kolkata,East,1.2,0.08,refrigerated,open,Non-Vegetarian,dry,fried,soft,strong,Fresh
Bhubaneswar,East,9.0,0.02,outside,plastic,Dairy,wet,boiled,soft,fermented,Spoiled
Nagpur,Central,3.0,1.52,outside,open,Dairy,semi-wet,boiled,dry,sour,Spoiled
Imphal,NorthEast,0.0,0.68,refrigerated,closed,Non-Vegetarian,wet,boiled,dry,slight,Fresh
Guwahati,NorthEast,0.0,6.78,refrigerated,open,Seafood,wet,boiled,soft,fermented,Spoiled
Guwahati,NorthEast,8.9,0.77,outside,plastic,Seafood,wet,steamed,crispy,sour,Spoiled
Guwahati,NorthEast,0.0,4.27,outside,metal,Non-Vegetarian,semi-wet,fried,soggy,sour,Spoiled
Jaipur,North,4.0,2.64,refrigerated,closed,Dairy,semi-wet,steamed,soft,strong,Medium
Kolkata,East,9.7,4.02,outside,closed,Non-Vegetarian,semi-wet,steamed,moist,strong,Spoiled
Bhubaneswar,East,0.0,7.84,refrigerated,metal,Bakery,semi-wet,steamed,dry,slight,Fresh
Guwahati,NorthEast,24.8,2.49,outside,plastic,Vegetarian,dry,boiled,firm,strong,Spoiled
Bhopal,Central,4.0,3.32,refrigerated,plastic,Dairy,wet,steamed,firm,slight,Medium
Ahmedabad,West,3.4,0.88,refrigerated,open,Dairy,dry,steamed,soggy,fermented,Medium
Ahmedabad,West,13.8,1.86,refrigerated,open,Vegetarian,dry,baked,soft,fermented,Medium
Bengaluru,South,22.7,1.51,refrigerated,open,Non-Vegetarian,semi-wet,fried,firm,slight,Fresh
Mumbai,West,28.3,2.05,refrigerated,closed,Vegetarian,dry,steamed,crispy,slight,Medium
Jaipur,North,31.2,2.23,refrigerated,metal,Non-Vegetarian,dry,boiled,soggy,strong,Medium
Jaipur,North,20.4,6.22,refrigerated,closed,Bakery,dry,boiled,soft,strong,Medium
Guwahati,NorthEast,0.0,3.08,refrigerated,metal,Non-Vegetarian,dry,boiled,dry,slight,Fresh
Imphal,NorthEast,17.3,4.46,refrigerated,open,Non-Vegetarian,wet,baked,crispy,neutral,Medium
Chandigarh,North,15.0,0.18,outside,closed,Bakery,semi-wet,boiled,moist,fermented,Spoiled
Patna,East,0.0,2.24,outside,open,Vegetarian,semi-wet,baked,firm,sour,Spoiled
Bhopal,Central,0.0,0.76,refrigerated,closed,Bakery,dry,boiled,soggy,sour,Fresh
Kochi,South,12.7,5.8,refrigerated,metal,Seafood,semi-wet,steamed,dry,fermented,Medium
Nagpur,Central,23.3,6.08,outside,open,Vegetarian,dry,baked,dry,slight,Spoiled
Imphal,NorthEast,13.5,2.09,refrigerated,closed,Vegetarian,dry,steamed,moist,neutral,Fresh
Shillong,NorthEast,26.3,5.04,refrigerated,closed,Bakery,wet,fried,moist,strong,Spoiled
Ahmedabad,West,12.1,0.33,outside,open,Vegetarian,semi-wet,baked,dry,slight,Medium
Kochi,South,9.9,2.59,refrigerated,open,Dairy,wet,fried,soggy,neutral,Medium
Imphal,NorthEast,10.7,0.37,refrigerated,closed,Non-Vegetarian,dry,baked,soggy,sour,Fresh
Goa,West,18.3,5.45,outside,closed,Vegetarian,dry,baked,dry,neutral,Medium
Bengaluru,South,29.2,1.96,refrigerated,open,Bakery,dry,steamed,firm,slight,Medium
Jaipur,North,11.4,0.33,outside,closed,Seafood,semi-wet,boiled,moist,slight,Medium
Bhubaneswar,East,26.2,3.85,refrigerated,plastic,Bakery,wet,steamed,moist,strong,Spoiled
Goa,West,8.6,3.71,outside,plastic,Dairy,semi-wet,fried,firm,neutral,Spoiled
Jaipur,North,12.0,3.05,refrigerated,metal,Vegetarian,wet,steamed,firm,sour,Spoiled
Nagpur,Central,20.4,3.48,refrigerated,metal,Dairy,dry,fried,crispy,strong,Fresh
Pune,South,11.2,0.41,outside,open,Bakery,dry,steamed,moist,neutral,Medium
Goa,West,16.2,5.44,outside,closed,Bakery,wet,boiled,crispy,neutral,Spoiled
Delhi,North,14.9,1.66,refrigerated,plastic,Bakery,wet,boiled,firm,slight,Medium
Kochi,South,21.8,1.8,outside,open,Vegetarian,semi-wet,baked,dry,fermented,Spoiled
Patna,East,17.8,0.92,refrigerated,open,Vegetarian,semi-wet,baked,soft,fermented,Medium
Nagpur,Central,4.8,5.69,refrigerated,open,Dairy,wet,baked,crispy,strong,Medium
Nagpur,Central,24.1,3.88,outside,closed,Vegetarian,dry,steamed,dry,fermented,Spoiled
Bengaluru,South,18.6,1.96,refrigerated,plastic,Non-Vegetarian,dry,boiled,firm,fermented,Medium
Ahmedabad,West,11.6,2.86,outside,metal,Non-Vegetarian,wet,fried,dry,fermented,Spoiled
Guwahati,NorthEast,0.0,4.1,refrigerated,plastic,Vegetarian,wet,boiled,dry,neutral,Medium
Delhi,North,5.5,4.31,outside,open,Bakery,dry,baked,soft,neutral,Medium
Goa,West,0.6,6.35,outside,plastic,Bakery,wet,fried,dry,slight,Spoiled
Imphal,NorthEast,30.8,1.43,refrigerated,open,Seafood,dry,steamed,moist,neutral,Medium
Raipur,Central,25.9,0.55,refrigerated,metal,Bakery,dry,boiled,firm,sour,Medium
Bhopal,Central,9.5,1.42,refrigerated,closed,Seafood,semi-wet,steamed,dry,fermented,Medium
Jaipur,North,8.2,2.04,outside,plastic,Dairy,wet,steamed,dry,fermented,Spoiled
Srinagar,North,19.2,1.33,outside,closed,Seafood,dry,steamed,dry,neutral,Medium
Kochi,South,15.3,3.1,refrigerated,plastic,Dairy,semi-wet,fried,soggy,fermented,Spoiled
Bengaluru,South,8.1,0.56,refrigerated,metal,Non-Vegetarian,wet,boiled,crispy,fermented,Medium
Shillong,NorthEast,25.7,6.89,outside,closed,Vegetarian,semi-wet,fried,crispy,neutral,Spoiled
Shillong,NorthEast,20.0,5.2,outside,open,Seafood,wet,steamed,dry,slight,Spoiled
Raipur,Central,14.7,5.77,refrigerated,metal,Dairy,wet,steamed,soft,slight,Medium
Lucknow,North,0.0,0.7,refrigerated,closed,Bakery,dry,baked,crispy,neutral,Fresh
Delhi,North,0.0,8.91,refrigerated,closed,Vegetarian,dry,fried,soggy,fermented,Fresh
Indore,Central,9.6,2.72,refrigerated,open,Seafood,wet,steamed,soft,strong,Spoiled
Patna,East,25.6,0.66,refrigerated,metal,Non-Vegetarian,wet,steamed,soft,strong,Medium
Jaipur,North,31.5,0.19,refrigerated,open,Dairy,semi-wet,fried,soggy,slight,Fresh
Imphal,NorthEast,24.8,1.56,refrigerated,open,Bakery,semi-wet,steamed,soft,strong,Medium
